файл;освещённость;сезон;яркость;детекций;классы;conf
frame_003_t0012s.jpg;пасмурно;без_зелени;133.0;1;crane_manipulator;0.258
frame_004_t0016s.jpg;пасмурно;без_зелени;136.8;1;tower_crane;0.144
frame_005_t0020s.jpg;пасмурно;без_зелени;124.8;1;tower_crane;0.262
frame_015_t0073s.jpg;пасмурно;снег_или_межсезонье;148.6;2;"crane_manipulator;loader";0.41
frame_016_t0078s.jpg;пасмурно;снег_или_межсезонье;138.7;2;"autocrane;concrete_mixer";0.519
jk-info-1.jpg;пасмурно;снег_или_межсезонье;145.5;3;tower_crane;0.572
frame_000_t0000s.jpg;сумерки_или_контраст;без_зелени;0.0;0;;
frame_001_t0004s.jpg;сумерки_или_контраст;без_зелени;1.2;0;;
frame_009_t0036s.jpg;сумерки_или_контраст;без_зелени;88.9;0;;
01_котлован_норма.jpg;яркий_день;без_зелени;170.2;2;"dump_truck;excavator";0.779
jk-ok-1.jpg;яркий_день;без_зелени;170.2;2;"dump_truck;excavator";0.779
02_котлован_простой.jpg;яркий_день;зелёный_сезон;159.5;8;"excavator;loader";0.749
frame_002_t0010s.jpg;яркий_день;зелёный_сезон;177.5;3;"concrete_pump;dump_truck;pile_driver";0.308
jk-idle-1.jpg;яркий_день;зелёный_сезон;159.5;8;"excavator;loader";0.749
03_котлован_нет_техники.jpg;яркий_день;снег_или_межсезонье;157.6;5;"excavator;truck";0.638
frame_018_t0088s.jpg;яркий_день;снег_или_межсезонье;187.1;3;"concrete_pump;crane_manipulator;dump_truck";0.231
jk-warn-1.jpg;яркий_день;снег_или_межсезонье;157.6;5;"excavator;truck";0.638
