epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.4447,1.35638,2.06411,1.51439,0.25277,0.28822,0.2068,0.105,1.66368,2.66521,2.12388,0.000332449,0.000332449,0.0670875
2,140.699,1.40195,1.90799,1.56462,0.40205,0.40489,0.33842,0.18885,1.46045,2.15318,1.86884,0.00066562,0.00066562,0.0340874
3,210.012,1.38313,1.77834,1.54487,0.60442,0.37309,0.40268,0.23769,1.36565,1.89486,1.72284,0.00099814,0.00099814,0.00108656
4,279.783,1.33456,1.66628,1.51723,0.50807,0.48767,0.48669,0.29111,1.28787,1.59335,1.61806,0.000997803,0.000997803,0.000997803
5,349.029,1.26171,1.50817,1.45182,0.5443,0.57697,0.5571,0.35318,1.19239,1.36751,1.55991,0.000996097,0.000996097,0.000996097
6,418.085,1.2207,1.41909,1.42678,0.56013,0.58075,0.58186,0.37632,1.17483,1.32579,1.52656,0.000993906,0.000993906,0.000993906
7,487.012,1.18357,1.35792,1.40567,0.58606,0.55203,0.57222,0.37288,1.15851,1.35097,1.51515,0.000991232,0.000991232,0.000991232
8,554.399,1.16578,1.29077,1.38716,0.55167,0.52254,0.55902,0.37667,1.08381,1.23785,1.44909,0.000988079,0.000988079,0.000988079
9,623.274,1.13678,1.23575,1.36765,0.61043,0.58185,0.60631,0.4095,1.0865,1.12578,1.43043,0.000984449,0.000984449,0.000984449
10,692.763,1.11721,1.1948,1.35175,0.69296,0.64934,0.68882,0.46669,1.053,1.10231,1.41506,0.000980345,0.000980345,0.000980345
11,762.208,1.09002,1.16624,1.33291,0.62817,0.66351,0.67498,0.46486,1.03327,1.0484,1.39512,0.000975773,0.000975773,0.000975773
12,831.008,1.08172,1.13829,1.33323,0.67215,0.67687,0.70107,0.48481,1.02058,0.98711,1.37857,0.000970736,0.000970736,0.000970736
13,900.009,1.07146,1.11104,1.3222,0.71727,0.65924,0.70335,0.491,1.01612,0.97868,1.3859,0.000965239,0.000965239,0.000965239
14,969.597,1.04408,1.05105,1.29973,0.72131,0.67879,0.71316,0.49482,1.0127,0.94377,1.36896,0.000959289,0.000959289,0.000959289
15,1039.06,1.04102,1.03752,1.29549,0.7154,0.71703,0.7509,0.52986,0.99327,0.90699,1.34569,0.000952889,0.000952889,0.000952889
16,1108.36,1.02522,1.01256,1.28999,0.72219,0.66598,0.7201,0.50771,0.9933,0.93537,1.34956,0.000946048,0.000946048,0.000946048
17,1175.89,1.01298,0.99179,1.27913,0.74197,0.68871,0.73972,0.52544,0.99768,0.9302,1.36754,0.000938772,0.000938772,0.000938772
18,1243.33,1.01029,0.96029,1.27173,0.7408,0.69622,0.74433,0.52533,0.98672,0.90554,1.36068,0.000931067,0.000931067,0.000931067
19,1310.93,1.00591,0.96172,1.26513,0.74506,0.67477,0.72797,0.52214,0.97826,0.90595,1.34101,0.000922942,0.000922942,0.000922942
20,1378.17,0.9876,0.94417,1.26141,0.71742,0.68751,0.75037,0.53675,0.95765,0.88397,1.3207,0.000914405,0.000914405,0.000914405
21,1447.2,0.98575,0.9287,1.25362,0.74703,0.72693,0.75787,0.55034,0.96092,0.84227,1.3278,0.000905463,0.000905463,0.000905463
22,1518.12,0.96847,0.90486,1.24244,0.77023,0.72122,0.77367,0.56164,0.96467,0.82683,1.32602,0.000896127,0.000896127,0.000896127
23,1587.81,0.95694,0.90029,1.2452,0.73146,0.68738,0.75779,0.54294,0.94498,0.82862,1.30729,0.000886404,0.000886404,0.000886404
